City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
busselton,76,AU,1535667864,100,-33.64,115.35,54.56,10.96
punta arenas,40,CL,1535666400,75,-53.16,-70.91,41.0,14.99
tasiilaq,92,GL,1535665800,75,65.61,-37.64,42.8,40.26
arraial do cabo,0,BR,1535662800,65,-22.97,-42.02,77.0,21.92
jamestown,92,AU,1535667263,99,-33.21,138.6,47.09,15.66
inuvik,90,CA,1535662800,54,68.36,-133.71,53.6,3.36
hilo,90,US,1535662560,79,19.71,-155.08,77.0,6.93
qaanaaq,0,GL,1535667279,100,77.48,-69.36,33.23,2.8
bay roberts,75,CA,1535662800,82,47.58,-53.28,57.2,21.92
corral nuevo,75,MX,1535665380,74,18.11,-95.11,84.2,17.22
mar del plata,0,AR,1535667866,41,-46.43,-67.52,50.6,4.14
vila,75,IT,1535665800,69,45.18,8.4,73.4,3.36
cardenas,20,MX,1535665320,39,27.62,-110.24,96.8,4.59
guerrero negro,0,MX,1535667867,53,27.97,-114.04,86.06,9.28
pevek,64,RU,1535667868,96,69.7,170.27,45.02,4.36
albany,1,US,1535666040,68,42.65,-73.75,78.98,12.75
hasaki,20,JP,1535664600,78,35.73,140.83,82.4,5.82
luganville,92,VU,1535667869,100,-15.51,167.18,77.15,16.44
kruisfontein,0,ZA,1535667869,86,-34.0,24.73,60.05,2.35
rikitea,100,PF,1535667869,100,-23.12,-134.97,66.89,17.67
east london,0,ZA,1535667870,92,-33.02,27.91,71.12,20.69
glendive,1,US,1535667300,20,47.11,-104.71,87.08,11.41
bonfim,0,BR,1535662800,43,-20.33,-44.24,73.4,8.05
the valley,40,AI,1535666400,83,18.22,-63.06,80.6,17.22
hambantota,76,LK,1535667871,99,6.12,81.12,79.94,16.67
castro,0,CL,1535667872,64,-42.48,-73.76,50.96,3.47
butaritari,68,KI,1535667872,100,3.07,172.79,82.91,1.57
kapaa,40,US,1535666160,76,22.08,-159.32,84.02,18.34
zatoka,75,PL,1535666400,82,50.04,20.52,66.2,5.82
sayville,20,US,1535666160,49,40.74,-73.08,89.06,10.29
mayo,90,CA,1535666100,81,63.59,-135.9,46.4,3.58
mataura,32,NZ,1535667874,89,-46.19,168.86,37.64,2.68
hervey bay,0,AU,1535667874,97,-25.3,152.85,64.46,10.74
saint-philippe,40,CA,1535666100,59,45.36,-73.48,69.8,6.93
marawi,64,PH,1535667875,96,8.0,124.29,66.98,1.57
airai,56,TL,1535667875,96,-8.93,125.41,66.53,1.68
maxixe,0,MZ,1535667875,100,-23.86,35.35,65.54,7.61
torbay,75,CA,1535662800,82,47.66,-52.73,57.2,21.92
santa maria,76,BR,1535667832,94,-29.69,-53.81,65.54,4.7
emmett,1,US,1535667300,18,43.87,-116.5,87.08,9.17
cidreira,24,BR,1535667877,76,-30.17,-50.22,69.41,5.7
los algarrobos,75,EC,1535666400,33,-3.25,-79.94,89.6,9.17
nouadhibou,48,MR,1535667760,55,20.93,-17.03,85.52,14.54
ulladulla,0,AU,1535662800,93,-35.36,150.48,41.0,1.12
harper,75,US,1535666100,34,30.3,-99.24,98.06,9.17
verkhnevilyuysk,48,RU,1535667879,76,63.45,120.31,56.0,7.05
dikson,80,RU,1535667879,100,73.51,80.55,41.6,9.62
bredasdorp,32,ZA,1535662800,88,-34.53,20.04,62.6,2.24
lompoc,1,US,1535666160,53,34.64,-120.46,86.0,17.22
thompson,75,CA,1535662800,87,55.74,-97.86,60.8,6.93
lampang,40,TH,1535666400,88,18.29,99.49,75.2,2.57
bluff,0,AU,1535667880,88,-23.58,149.07,53.57,7.38
halifax,90,CA,1535662800,100,44.65,-63.58,64.4,12.75
puerto narino,75,CO,1535666400,70,-3.77,-70.38,87.8,2.24
nanortalik,0,GL,1535667881,95,60.14,-45.24,41.06,44.96
namibe,88,AO,1535667882,100,-15.19,12.15,65.0,10.07
eureka,90,US,1535666100,86,40.8,-124.16,62.6,5.82
camocim,8,BR,1535667882,45,-2.9,-40.84,86.42,5.7
atuona,0,PF,1535667667,99,-9.8,-139.03,79.67,19.01
golden,75,CA,1535665920,82,51.3,-116.96,55.4,8.05
ushuaia,40,AR,1535666400,86,-54.81,-68.31,37.4,27.51
tuktoyaktuk,90,CA,1535663880,87,69.44,-133.03,42.8,9.17
smidovich,8,RU,1535667884,82,48.6,133.81,54.65,5.93
almaznyy,68,RU,1535667884,41,48.03,40.04,74.99,10.74
kaitangata,24,NZ,1535667884,75,-46.28,169.85,39.98,4.36
lumeje,0,AO,1535667885,30,-11.56,20.78,70.94,10.85
tura,88,IN,1535667885,94,25.52,90.21,77.6,3.02
lata,88,IN,1535667885,100,30.78,78.62,58.07,1.68
chuy,92,UY,1535667837,96,-33.69,-53.46,56.36,18.9
gorin,75,US,1535666100,73,40.36,-92.02,80.06,6.93
sitka,0,US,1535667886,29,37.17,-99.65,100.73,22.03
duliagaon,80,IN,1535667886,98,27.37,95.32,75.35,1.57
port blair,68,IN,1535667887,99,11.67,92.75,81.29,22.59
matagami,68,NG,1535667887,96,9.67,8.4,65.27,2.57
puerto ayora,0,EC,1535666400,50,-0.74,-90.35,78.8,19.46
vaini,92,IN,1535667888,98,15.34,74.49,68.51,4.47
puerto del rosario,20,ES,1535666400,73,28.5,-13.86,73.4,18.34
angoche,32,MZ,1535667888,100,-16.23,39.91,77.15,14.43
natal,20,BR,1535666400,69,-5.81,-35.21,77.0,14.99
flinders,0,AU,1535662800,93,-34.58,150.85,41.0,1.12
khatanga,88,RU,1535667889,64,71.98,102.47,36.2,18.12
port elizabeth,1,US,1535666160,50,39.31,-74.98,89.96,6.93
bahia blanca,0,AR,1535667837,63,-38.72,-62.27,49.7,15.43
egvekinot,8,RU,1535667890,67,66.32,-179.17,51.59,4.92
lebu,100,ET,1535667890,97,8.96,38.73,53.12,2.57
